Year,Deaths,VMT (billions),Population,VMT per person
1924,18400,104.84,114109000,918.770649116196
1925,20771,122.35,115829000,1056.29850900897
1926,22194,140.74,117397000,1198.8381304462634
1927,24470,158.45,119035000,1331.1210988364767
1928,26557,172.86,120509000,1434.4156867951772
1929,29592,197.72,121767000,1623.756847093219
1930,31204,206.32,123076741,1676.35247995395
1931,31963,216.15,124039648,1742.5879828359398
1932,27979,200.52,124840471,1606.20989646859
1933,29746,200.64,125578763,1597.7223792210789
1934,34240,215.56,126373773,1705.7336730778782
1935,34494,228.57,127250232,1796.2246229932218
1936,36126,252.13,128053180,1968.947588806463
1937,37819,270.11,128824829,2096.72314022633
1938,31083,271.18,129824939,2088.812843578536
1939,30895,285.4,130879718,2180.6281703632644
1940,32914,302.19,132122446,2287.1965298008486
1941,38142,333.61,133402471,2500.7782651942034
1942,27007,268.22,134859553,1988.8839465454853
1943,22727,208.19,136739353,1522.5317030716096
1944,23165,212.71,138397345,1536.9514494660284
1945,26785,250.17,139928165,1787.8459279445278
1946,31874,340.88,141388566,2410.9446021257477
1947,31193,370.89,144126071,2573.3720306577984
1948,30775,397.96,146631302,2714.0180477971885
1949,30246,424.46,149188130,2845.1325182506143
1950,33186,458.25,152271417,3009.4288805363913
1951,35309,491.09,154877889,3170.820594022947
1952,36088,513.58,157552740,3259.7338516613554
1953,36190,544.43,160184192,3398.7748304152256
1954,33890,561.96,163025854,3447.060611625442
1955,36688,605.65,165931202,3650.006705791235
1956,37965,627.84,168903031,3717.1624232131157
1957,36932,647.0,171984130,3761.9750147877016
1958,35331,664.65,174881904,3800.5647513993213
1959,36223,700.48,177829628,3939.05114619033
1960,36399,718.76,180671158,3978.2774846663683
1961,36285,737.42,183691481,4014.4485524617226
1962,38980,766.73,186537737,4110.3211196348975
1963,41723,805.25,189241798,4255.138180414033
1964,45645,846.3,191888791,4410.367044315788
1965,47089,887.81,194302963,4569.204639457814
1966,50894,925.9,196560338,4710.512860432708
1967,50724,964.01,198712056,4851.290955391252
1968,52725,1015.87,200706052,5061.4816537769375
1969,53543,1061.79,202676946,5238.829679227552
1970,52627,1109.72,205052174,5411.890926842843
1971,52542,1178.81,207660677,5676.616377399174
1972,54589,1259.79,209896021,6001.971804887145
1973,54052,1313.11,211908788,6196.581144147736
1974,45196,1280.54,213853928,5987.919006098406
1975,44525,1327.66,215973199,6147.33682765888
1976,45523,1402.38,218035164,6431.898296918748
1977,47878,1467.03,220239425,6661.0689707349175
1978,50331,1544.7,222584545,6939.834928790766
1979,51093,1529.13,225055487,6794.457759654622
1980,51091,1527.3,227224681,6721.540957956059
1981,49301,1552.8,229465714,6767.024026953325
1982,43945,1595.01,231664458,6885.000892109225
1983,42589,1652.79,233791994,7069.489299962941
1984,44257,1720.27,235824902,7294.69188966312
1985,43825,1774.18,237923795,7456.925441190108
1986,46087,1834.87,240132887,7641.060843115587
1987,46390,1921.2,242288918,7929.376282905354
1988,47087,2025.96,244498982,8286.169469613578
1989,45582,2096.46,246819230,8493.908679643802
1990,44599,2144.36,249464396,8595.855899212167
1991,41508,2172.05,252153092,8614.012950513414
1992,39250,2247.15,255029699,8811.326715325025
1993,40150,2296.38,257782608,8908.20376834732
1994,40716,2358.0,260327021,9057.838064378266
1995,41817,2423.0,262803276,9219.82418514448
1996,42065,2486.0,265228572,9373.047486000112
1997,42013,2562.0,267783607,9567.426582613774
1998,41501,2632.0,270248003,9739.202402172792
1999,41717,2691.0,272690813,9868.319252838195
2000,41945,2747.0,282216952,9733.646333194045
2001,42196,2797.0,285226284,9806.249132355559
2002,43005,2856.0,288125973,9912.330951156562
2003,42884,2890.0,290796023,9938.237704165576
2004,42836,2965.0,293638158,10097.461515883777
2005,43510,2989.0,296507061,10080.704283801188
2006,42708,3014.0,299398484,10066.851240302205
2007,41259,3031.0,301139947,10065.08777794266
2008,37423,2977.0,303824640,9798.415296402556
2009,33883,2957.0,306700000,9641.343332246495
2010,32999,2967.0,309326000,9591.822219923317
2011,32479,2950.0,311588000,9467.630332361965
2012,33782,2969.0,313914000,9458.004421593176
2013,32893,2988.0,316129000,9451.837699167112
2014,32744,3026.0,318860000,9490.058332810639
2015,35485,3095.0,321370000,9630.643806204685